,question,answers,,A,B,C,D,E,pictures,,feedback
1,Which of the following is an example of time series problem?,D,,Estimating number of hotel rooms booking in next 6 months.,Estimating the total sales in next 3 years of an insurance company.,Estimating the number of calls for the next one week.,All of the above,None of the above,,,All the above options have a time component associated.
2,Which of the following is not an example of a time series model?,D,,Kernel Smoothing,Lowess (Locally-weighted Scatterplot Smoothing),Moving Average,None of the above,,,,"Naive approach: Estimating technique in which the last period's actuals are used as this period's forecast, without adjusting them or attempting to establish causal factors. It is used only for comparison with the forecasts generated by the better (sophisticated) techniques.

In exponential smoothing, older data is given progressively-less relative importance whereas newer data is given progressively-greater importance.

In time series analysis, the moving-average (MA) model is a common approach for modeling univariate time series. The moving-average model specifies that the output variable depends linearly on the current and various past values of a stochastic (imperfectly predictable) term."
3,Which of the following can't be a component for a time series plot?,E,,Seasonality,Trend,Cyclical,Noise,None of the above,,,"A seasonal pattern exists when a series is influenced by seasonal factors (e.g., the quarter of the year, the month, or day of the week). Seasonality is always of a fixed and known period. Hence, seasonal time series are sometimes called periodic time series

Seasonality is always of a fixed and known period. A cyclic pattern exists when data exhibit rises and falls that are not of fixed period.

Trend is defined as the 'long term' movement in a time series without calendar related and irregular effects, and is a reflection of the underlying level. It is the result of influences such as population growth, price inflation and general economic changes. The following graph depicts a series in which there is an obvious upward trend over time.

Noise: In discrete time, white noise is a discrete signal whose samples are regarded as a sequence of serially uncorrelated random variables with zero mean and finite variance.

Thus all of the above mentioned are components of a time series."
4,Which of the following is relatively easier to estimate in time series modeling?,A,,Seasonality,Cyclical,No difference between Seasonality and Cyclical,,,,,Seasonality exhibits fixed structure; it is easier to estimate.
5,The below time series plot contains both Cyclical and Seasonality component.,B,,TRUE,FALSE,,,,5.PNG,,There is a repeated trend in the plot above at regular intervals of time and is thus only seasonal in nature.
6,Adjacent observations in time series data (excluding white noise) are independent and identically distributed (IID).,B,,TRUE,FALSE,,,,,,Clusters of observations are frequently correlated with increasing strength as the time intervals between them become shorter. This needs to be true because in time series forecasting is done based on previous observations and not the currently observed data unlike classification or regression.
7,Smoothing parameter close to one gives more weight or influence to recent observations over the forecast.,A,,TRUE,FALSE,,,,,,"It may be sensible to attach larger weights to more recent observations than to observations from the distant past. This is exactly the concept behind simple exponential smoothing. Forecasts are calculated using weighted averages where the weights decrease exponentially as observations come from further in the past --- the smallest weights are associated with the oldest observations:
$$y_{T+1|T} = \alpha y_T + \alpha (1-\alpha) y_{T-1} + \alpha (1- \alpha )^2 y_{T-2} + ...$$
where \(0 \leq \alpha \leq 1\)  is the smoothing parameter. The one-step-ahead forecast for time \(T+1\) is a weighted average of all the observations in the series \(y_1,...,y_T\). The rate at which the weights decrease is controlled by the parameter  \(\alpha\)."
8,Sum of weights in exponential smoothing is _____.,B,,<1,1,>1,None of the above,,,,The sum of the weights even for a small  \(\alpha\) will be approximately one for any reasonable sample size.
9,The last period's forecast was 70 and demand was 60. What is the correct formula for simple exponential smoothing forecast with alpha of 0.4 for the next period.,D,,0.4*60 + 0.4*70 = 52,(1-0.4)*(60+70) = 78,0.4*70 + 0.6*60 = 64,0.4*60 + 0.6*70 = 66,,,,"\(Y_{t-1}= 70  S_{t-1}= 60  \alpha = 0.4  \)
Substituting the values we get: 0.4*60 + 0.6*70= 24 + 42= 66"
10,What does autocovariance measure?,D,,Linear dependence between multiple points on the different series observed at different times,Quadratic dependence between two points on the same series observed at different times,Linear dependence between two points on different series observed at same time,Linear dependence between two points on the same series observed at different times,,,,Option D is the definition of autocovariance.
